Decade	AvgIndex
1940	0.042541666666667
1950	0.115841666666667
1960	-0.024425
1970	-0.273633333333333
1980	-0.1356
1990	-0.037225
2000	0.1311
2010	0.1729
2020	-33.1244166666667
